backend_id,backend_family,model_type,run_index,metric_name,metric_value,fidelity,latency_s,cost_usd,timestamp_utc
ionq_harmony_adapter,trapped_ion,qsvr,1,rmse,1.301301182616425,0.9738841007017165,107.30404355143524,7.926692381324523,2026-03-02T21:05:31.481299Z
ionq_harmony_adapter,trapped_ion,qsvr,2,rmse,1.2831062872614853,0.948871782685575,99.35374075509718,7.603687092876267,2026-03-02T21:05:31.481308Z
ionq_harmony_adapter,trapped_ion,qsvr,3,rmse,1.2604359819244324,0.9177071688995742,96.66426245961627,7.4787212469838344,2026-03-02T21:05:31.481311Z
ionq_harmony_adapter,trapped_ion,qgpr,1,rmse,1.500056870137701,0.9156200580943038,91.29306738311068,7.914362430500064,2026-03-02T21:05:31.481314Z
ionq_harmony_adapter,trapped_ion,qgpr,2,rmse,1.4488225184238666,0.9733549736252994,99.48992237431732,7.463038849381334,2026-03-02T21:05:31.481316Z
ionq_harmony_adapter,trapped_ion,qgpr,3,rmse,1.4633150299186015,0.9636858692712135,98.57781378958809,7.8357282460773625,2026-03-02T21:05:31.481318Z
ionq_harmony_adapter,trapped_ion,qgma,1,valid_rate,0.8608196122947519,0.9360735461053199,90.70866256408597,7.810863634240782,2026-03-02T21:05:31.481324Z
ionq_harmony_adapter,trapped_ion,qgma,2,valid_rate,0.8674955403644253,0.9611082763665951,92.02284321150978,7.637088431109134,2026-03-02T21:05:31.481326Z
ionq_harmony_adapter,trapped_ion,qgma,3,valid_rate,0.8682549745204776,0.9639561544517911,100.88154764032808,7.462933736006411,2026-03-02T21:05:31.481329Z
ibm_perth_adapter,superconducting,qsvr,1,rmse,1.2736163585952676,0.9358260844762969,65.13799805525828,3.4013605022859768,2026-03-02T21:05:31.481331Z
ibm_perth_adapter,superconducting,qsvr,2,rmse,1.284844689902233,0.9512615452449226,75.44312013199605,3.3959476496527436,2026-03-02T21:05:31.481333Z
ibm_perth_adapter,superconducting,qsvr,3,rmse,1.2754005555687364,0.938278799989812,70.8558766372653,3.2301759977107696,2026-03-02T21:05:31.481335Z
ibm_perth_adapter,superconducting,qgpr,1,rmse,1.4463949806751544,0.9701792597699611,69.44650611338949,3.348654082684146,2026-03-02T21:05:31.481337Z
ibm_perth_adapter,superconducting,qgpr,2,rmse,1.4533288025236684,0.9767498888595689,58.96533083940051,3.364680774986383,2026-03-02T21:05:31.481338Z
ibm_perth_adapter,superconducting,qgpr,3,rmse,1.4531579347316377,0.9769734187366517,80.73956319433111,3.36382902779681,2026-03-02T21:05:31.481340Z
ibm_perth_adapter,superconducting,qgma,1,valid_rate,0.8643326985843213,0.9492476196912047,68.70733175013774,3.287851491180546,2026-03-02T21:05:31.481342Z
ibm_perth_adapter,superconducting,qgma,2,valid_rate,0.8593787905165279,0.9306704644369795,79.62740529690838,3.113544418869969,2026-03-02T21:05:31.481344Z
ibm_perth_adapter,superconducting,qgma,3,valid_rate,0.8723478179757981,0.9793043174092432,69.87523345178423,3.3853718417050613,2026-03-02T21:05:31.481345Z
quantinuum_h1_adapter,trapped_ion,qsvr,1,rmse,1.3164170385174667,0.9753363021910993,122.36593238020822,10.304043390795783,2026-03-02T21:05:31.481347Z
quantinuum_h1_adapter,trapped_ion,qsvr,2,rmse,1.3086152349183744,0.983938646143957,116.24619130903933,9.999308943447591,2026-03-02T21:05:31.481349Z
quantinuum_h1_adapter,trapped_ion,qsvr,3,rmse,1.3282639735526116,0.959050453834452,128.68975108893488,10.313864916887814,2026-03-02T21:05:31.481350Z
quantinuum_h1_adapter,trapped_ion,qgpr,1,rmse,1.4334318920535527,0.9532208993220391,120.31093870549103,9.42178121090988,2026-03-02T21:05:31.481352Z
quantinuum_h1_adapter,trapped_ion,qgpr,2,rmse,1.4403361221723954,0.962253038682378,112.6944452409357,10.064871793413555,2026-03-02T21:05:31.481354Z
quantinuum_h1_adapter,trapped_ion,qgpr,3,rmse,1.4353088348147955,0.9556763227797043,119.71106999377899,10.188822735034165,2026-03-02T21:05:31.481355Z
quantinuum_h1_adapter,trapped_ion,qgma,1,valid_rate,0.8715522672056003,0.9763210020210012,126.18500478315197,9.977803209976289,2026-03-02T21:05:31.481357Z
quantinuum_h1_adapter,trapped_ion,qgma,2,valid_rate,0.8696014721591239,0.9690055205967145,131.48002308022262,9.775464613506845,2026-03-02T21:05:31.481359Z
quantinuum_h1_adapter,trapped_ion,qgma,3,valid_rate,0.8684730386319114,0.9647738948696678,119.61891914777712,10.255988921845995,2026-03-02T21:05:31.481361Z
